"";"banalfreq";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"advertencia";15;0,2132;-0,0408;-0,1141;-0,2929;-0,0812;-0,6247;0,8301;0,262
"comilla";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-0,2234;0,3126
"aceptar";218;1,8219;0,4029;-0,9722;-0,2933;-0,6076;1,34;-1,1655;-0,4533
"habitualmente";46;0,2676;-0,1252;-0,3499;-0,1736;0,9542;1,34;-1,0289;-0,3037
"reproducir";106;-0,6642;0,8462;0,9447;-0,5087;0,8392;1,41;-1,1359;-0,3138
"ceo";14;-0,3838;1,0756;-0,1065;-0,2734;-0,0758;1,6352;-1,6372;0,5763
"nvidia";22;-0,2169;0,89;1,2569;0,2019;-0,1191;-0,6236;-1,8974;1,9698
"digitalizada";14;-0,3838;-0,0381;0,6627;-0,2734;-0,0758;0,3476;-0,4129;0,5763
"surgimiento";49;0,2341;-0,1334;-0,3727;-0,4445;-0,2652;0,8813;-1,6048;1,5962
"boom";21;-0,2013;-0,0572;-0,1597;0,6282;0,6378;-0,3081;-0,3962;0,3533
"optimisto";23;-0,2328;-0,0626;-0,1749;-0,4492;1,486;1,9474;-0,8222;-0,5611
"noción";98;1,1132;0,901;-0,7454;-0,4315;-0,5303;-0,4542;-0,5573;0,7238
"repetir";107;-0,4492;0,311;-0,3529;-0,8363;-0,2095;1,1576;-0,6399;0,5458
"bene";11;-0,3016;-0,0299;0,7564;-0,2148;-0,0595;-0,9116;-0,3537;1,4456
"cio";27;-0,7402;-0,0735;1,0997;-0,5273;0,5441;0,7544;-0,972;0,6526
"pleno";68;1,6492;-0,1851;0,4803;0,7467;0,243;0,279;-0,6244;-0,8149
"sostener";144;-0,3209;-0,392;-0,2654;0,9838;-0,3312;-0,3332;0,5289;-0,5268
"visibilizar";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;-0,4129;1,9614
"democratizar";44;-0,6188;-0,1198;0,2698;-0,8593;-0,2381;-1,0026;1,0548;0,6988
"summit";14;-0,3838;-0,0381;0,6627;0,9064;-0,0758;0,667;-0,4129;-0,5615
"enriquecidas";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;-0,2989;0,8301;0,262
"imaginario";46;0,2676;-0,1252;-0,3499;-0,4048;-0,2489;0,2524;1,0628;-0,6165
"cine";44;-0,3095;-0,1198;-0,3347;-0,8593;-0,2381;0,6497;-0,6567;1,1723
"interactúa";42;0,3203;-0,1143;0,2834;-0,8202;0,3899;0,5224;-0,5191;0,4384
"distinguir";183;-0,6846;0,9668;-1,3919;-0,2322;0,7147;-0,5775;1,6187;-0,8962
"ambicioso";34;0,4615;-0,0926;1,6784;0,3524;-0,184;-0,5644;0,2785;-0,4615
"denominar";209;-0,9887;-0,2046;-0,2941;0,5024;1,3273;-0,9804;0,9841;-0,3695
"ación";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;0,9665;-1,0919;0,533
"funcional";62;-0,9973;0,4921;-0,4716;-0,6251;-0,3355;-0,4603;1,598;-0,3072
"predominante";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,5731;-0,2401;1,658
"ml";42;-1,1514;-0,1143;-0,3194;-0,3531;-0,2273;0,5224;1,047;-0,446
"representar";726;-1,9155;0,5184;0,6975;-0,6686;1,1422;1,0918;-0,4412;-0,2894
"rasgo";61;0,4988;-0,1661;-0,464;-0,6108;-0,3301;-0,6104;1,2354;-0,3921
"excepción";62;0,7505;-0,1688;-0,1503;-0,6251;-0,3355;0,2827;-0,7059;0,8835
"espacial";57;1,2348;-0,1552;-0,4335;-1,1131;0,2937;1,2267;0,2875;-1,1987
"clarke";18;-0,4935;0,9718;-0,1369;-0,3515;-0,0974;-0,4292;-0,5646;1,6875
"distintivo";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;-0,4758;0,8354;0,4672
"pesar";422;0,3634;0,5657;-0,5873;0,762;-0,9772;0,4727;1,0602;-1,8167
"captar";75;0,3116;0,4259;-0,5704;1,7648;0,2166;-0,3478;-1,2917;0,769
"pieza";70;-0,7199;-0,1906;0,9125;-0,3972;0,2351;-1,9323;0,5281;1,2411
"normalmente";69;0,3814;0,4545;0,4721;0,7288;1,264;1,6236;-1,0207;-1,6375
"abordadas";18;-0,4935;-0,049;-0,1369;-0,3515;0,697;-0,21;-0,5646;1,2234
"lógico";160;0,5607;-0,4356;0,519;-0,7859;0,8589;0,2877;0,377;-0,5163
"aprovechamiento";83;-1,4687;-0,226;0,3731;1,9691;-0,1394;-1,7833;0,2713;1,0828
"trasladar";50;1,98;0,5701;0,6667;-0,458;0,3338;0,4356;-1,1568;-0,4349
"cidad";32;-0,8773;-0,0871;1,7488;-0,6249;-0,1732;-1,7639;1,3079;0,3784
"referir";425;0,277;0,3045;-0,5975;-0,5061;0,7933;-0,3589;0,3972;0,3147
"hallar";55;-0,249;-0,1497;-0,4183;-1,0741;-0,2976;0,8311;0,2752;0,3832
"único";499;1,45;-0,2071;-0,301;-1,3437;-1,2725;-0,7016;0,4265;0,5525
"convivir";39;-1,0692;0,6638;-0,2966;0,2871;-0,2111;1,1952;-1,1142;0,7883
"ambigüedad";42;-0,5789;-0,1143;-0,3194;-0,8202;-0,2273;-0,2591;0,4705;0,8202
"trained";39;-1,0692;-0,1062;-0,2966;0,611;-0,2111;-1,1287;0,2629;1,6542
"transformer";54;-1,4804;-0,147;-0,4107;-1,0545;-0,2922;0,4788;1,8809;-0,5889
"generativo";40;-1,0966;-0,1089;-0,3042;-0,7811;-0,2165;0,8417;0,6167;-0,2437
"preentrenado";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;0,6454;-0,2851
"precisamente";101;0,5573;-0,275;-0,3235;-1,9724;-0,1912;1,0026;-0,7011;0,6166
"nombrar";32;1,363;-0,0871;0,9738;-0,2319;1,2252;-0,4876;-0,3434;-0,8351
"optar";93;0,4657;0,3548;-0,7074;-0,2139;-0,5033;-0,6233;-0,4455;1,1113
"popularización";19;-0,171;-0,0517;-0,1445;-0,371;-0,1028;1,0135;0,3514;-0,5923
"ausencia";95;-1,7476;-0,2586;1,0755;-0,4037;0,4825;-0,394;-0,6429;1,6079
"coincidir";147;1,1729;-0,4002;-1,1181;-1,387;-0,7955;0,7158;-0,307;0,3346
"1943";14;0,6782;-0,0381;-0,1065;0,3305;-0,0758;-1,1602;0,6621;-0,2897
"servir";469;-1,2863;-0,3584;-0,2422;-0,7507;0,4405;0,9507;0,518;-0,4151
"inspiración";47;0,8004;-0,128;0,2511;-0,4179;-0,2543;0,3642;0,4381;-0,6629
"mcculloch";18;1,6686;-0,049;-0,1369;0,7296;-0,0974;-0,4292;0,2592;-0,884
"pitts";18;1,6686;-0,049;-0,1369;0,7296;-0,0974;-0,4292;0,2592;-0,884
"machinery";25;0,3396;0,8385;-0,1901;0,5208;-0,1353;0,5868;-1,4228;0,5486
"aparición";161;1,4138;1,0924;-0,6397;-1,5921;0,4927;-0,4113;-0,5125;0,5271
"dartmouth";38;-1,0417;1,6261;-0,289;0,6325;1,0946;1,2679;-1,2954;-0,3016
"1956";34;-0,4248;0,7168;-0,2586;1,8021;0,4617;1,2327;-0,469;-1,8074
"summer";13;-0,3564;1,1065;-0,0989;0,3539;-0,0703;-0,5053;-0,5723;1,079
"proceder";90;1,0028;-0,245;0,6862;-0,6237;0,5135;-0,7135;-0,9118;1,0841
"abstracciones";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;0,4901;0,2581
"reservar";35;1,2204;-0,0953;0,3389;-0,6835;-0,1894;-0,6044;0,897;-0,736
"elección";164;-0,6802;-0,1387;-0,6566;1,5262;0,8316;0,8208;-0,7122;-0,4286
"cuidado";115;0,3909;-0,3131;-0,393;-0,3701;-0,6223;-0,3337;0,5185;0,3451
"atribuir";56;-0,2598;-0,1525;-0,4259;-0,5403;0,299;0,4211;-0,8051;1,2763
"fácilmente";139;-0,2836;1,9334;-1,0572;1,3608;0,6057;-0,679;0,3229;-0,5057
"1983";34;0,8182;-0,0926;-0,2586;-0,664;1,1787;0,642;0,2785;-0,9661
"russell";70;-1,919;1,1465;-0,1828;0,4311;-0,3788;1,0493;-1,0973;0,8362
"norvig";33;-0,9047;1,7415;0,3576;0,7549;-0,1786;0,4608;-0,7846;0,3381
"componente";327;1,958;0,4748;-1,1177;-0,6507;-1,0621;-1,1981;0,3006;0,8111
"dirección";323;0,478;-0,8794;0,3095;-1,5883;0,4305;1,1807;-0,3121;-0,5128
"andar";30;-0,3519;-0,0817;-0,2282;-0,2093;-0,1623;0,5902;-1,008;1,2679
"andamiaje";23;-0,6305;0,872;-0,1749;-0,4492;-0,1245;1,9474;-0,5643;-0,3389
"implementados";11;0,3005;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;-0,3537;0,533
"ambo";357;0,5666;-0,4607;-1,8517;-1,0784;0,5482;-0,2734;0,5834;0,3229
"imprescindible";95;-1,7476;-0,2586;1,0755;-1,8552;-0,5141;-1,3391;1,0288;1,3911
"proveer";56;-0,4865;-0,1525;0,2041;-0,5403;0,299;1,02;-0,3731;-0,2555
"ciente";29;-0,795;-0,079;1,0462;-0,5663;-0,1569;-0,3805;-0,6531;1,7685
"deducción";13;0,2519;-0,0354;-0,0989;-0,2539;0,8252;-0,5053;-0,5723;1,079
"artefacto";51;0,6984;-0,1388;-0,3879;0,7315;-0,276;0,7862;-0,6297;-0,4714
"involucrar";485;-1,662;-0,3813;-1,5117;-0,5645;-0,3529;-0,5416;0,4727;1,833
"expert";25;-0,6854;-0,0681;-0,1901;1,6466;0,5724;0,5868;-1,0543;0,3471
"magnitud";33;0,8524;-0,0898;0,9514;-0,2434;-0,1786;-1,2396;0,4783;-0,2669
"cierta|cierto";129;0,407;-0,3512;0,7279;-0,7528;0,6669;0,513;0,4992;-0,9657
"necesariamente";119;-0,255;-0,324;-0,1813;0,812;0,3622;1,2733;-0,4477;-1,0893
"spam";31;0,926;-0,0844;-0,2358;0,3999;0,4943;-0,725;0,3144;-0,3365
"fracaso";42;0,9513;-0,1143;0,7821;0,2546;-0,2273;-0,4104;-0,5191;0,2994
"ende";52;-1,4255;-0,1416;-0,3955;-1,0155;-0,2814;-1,4037;1,5905;1,0753
"nodo";59;0,3091;0,5098;-0,4487;-1,1522;1,4324;1,3866;-0,5259;-0,6177
"valor";1461;-0,7075;-1,2994;0,8188;-0,7916;0,4477;-1,9282;1,0767;0,9352
"interno";199;-1,8021;-0,1893;-0,8589;-1,2222;0,349;-0,3682;1,281;0,5339
"originalmente";22;0,4055;0,89;0,4952;-0,4296;-0,1191;-0,6236;0,3012;0,3069
"inspirar";132;-1,0531;0,699;-0,4813;0,4419;-0,2902;1,3475;-0,3398;-0,5362
"convolucionales";12;-0,329;-0,0327;-0,0913;1,0211;-0,0649;-0,4476;-0,24;0,4456
"recurrente";79;-0,8818;-0,2151;-0,2214;0,3373;-0,4275;-0,9974;1,7519;-0,3336
"experimento";125;1,6776;0,7347;-0,4444;-1,6119;-0,267;1,432;-0,2756;-1,5538
"estadísticamente";21;-0,2013;-0,0572;-0,1597;0,2139;-0,1136;-0,5731;-0,2401;0,8682
"satisfacer";156;-0,5917;0,2049;0,2925;-0,3298;-0,8442;0,7562;0,8865;-0,9953
"realizarse";38;-0,2315;-0,1035;-0,289;0,299;-0,2056;-0,4781;0,4401;0,4477
"interactúan";77;-0,8451;-0,2096;-0,5857;-0,2521;0,6072;0,326;1,748;-1,2554
"hacerse";69;1,6119;-0,1879;-0,5248;1,082;0,6766;1,9279;-1,4512;-1,6375
"separación";14;0,6782;-0,0381;-0,1065;0,3305;-0,0758;-0,5644;-1,6372;1,9614
"indirectamente";15;0,2132;-0,0408;-0,1141;0,3093;0,7683;-0,2989;0,5265;-0,6385
"independientemente";136;-0,5723;0,2413;-0,5026;0,4085;1,5572;-1,3152;0,4907;0,5824
"contratar";42;0,5948;-0,1143;0,2834;0,9509;-0,2273;1,0004;-1,7693;0,2994
"cuyo";255;0,6592;0,6683;1,4485;1,0023;-0,2134;-0,7717;-0,883;0,3674
"demandar";63;-1,0191;0,4864;0,5244;-0,3257;-0,3409;-0,9107;1,4746;-0,3336
"oración";79;-1,377;0,4083;-0,6009;-1,5428;0,2032;1,3189;1,1159;-0,9077
"inadecuado";71;1,5401;-0,1933;-0,54;0,4195;0,2312;-0,9544;-0,9813;1,1764
"neto";16;-0,4386;-0,0436;0,6119;-0,3125;-0,0866;0,2647;0,2365;0,4223
"antigüedad";13;0,7282;-0,0354;-0,0989;0,3539;-0,0703;-1,0774;0,2816;0,3731
"lateral";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-0,2212;0,2816;0,6739
"implementaron";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,259;0,6621;0,3126
"categorización";28;-0,3167;-0,0762;-0,213;-0,1874;-0,1515;0,6952;1,3188;-1,8076
"escala";414;-0,3522;0,5835;-0,3761;-0,3495;-0,9475;0,333;1,3635;-1,1569
"reciente|recién";23;0,382;-0,0626;-0,1749;0,5712;0,6035;0,7033;-0,3686;-0,8807
"less";18;-0,4935;-0,049;-0,1369;0,7296;-0,0974;0,4164;-1,2558;1,2234
"camente";20;-0,5483;-0,0544;1,332;-0,3906;-0,1082;-0,9411;0,6944;0,4065
"3d";72;1,5055;-0,196;-0,5476;-0,2152;0,6494;-0,2902;-1,7342;1,1146
"iluminación";21;0,8728;-0,0572;-0,1597;-0,4101;-0,1136;-0,5731;-0,2401;0,5774
"sombra";25;-0,6854;-0,0681;-0,1901;0,5208;-0,1353;-0,4602;0,606;0,3471
"matemáticas";459;-0,4097;0,7891;0,2645;-0,849;-1,117;-0,6523;0,2964;1,2317
"experimentar";368;-0,3717;-1,0019;-0,9297;-1,4378;-1,2422;0,6578;-0,6845;1,9902
"introducir";386;-0,3786;-1,0509;-1,0144;0,468;-0,3196;0,7997;-0,7225;0,6954
"computation";10;-0,2741;-0,0272;-0,0761;1,1624;-0,0541;-0,8287;-0,2604;0,6391
"andrew";16;0,1967;1,0203;-0,1217;0,2899;-0,0866;0,526;0,2365;-0,7181
"ng";45;-1,2336;1,4898;-0,3423;1,8696;-0,2435;-1,0506;0,9452;-0,5716
"simultáneamente";47;-0,6797;0,5931;1,3169;0,8207;-0,2543;0,533;-0,8913;0,2701
"device";14;-0,3838;-0,0381;-0,1065;0,9064;-0,0758;-1,1602;-0,2234;0,9363
"architecture";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;1,7374;-0,739;-0,2479
"complejidad";359;-0,3257;-0,4645;-0,8881;0,9389;-1,2024;-0,4565;0,7807;-0,3938
"creciente";224;-0,3064;-0,6099;0,7072;0,5478;-0,6314;-0,3887;-0,3216;0,4249
"viable";39;-0,52;-0,1062;-0,2966;0,2871;-0,2111;1,5384;-0,3429;-0,4958
"cero";61;0,2863;-0,1661;-0,1464;-0,6108;0,2738;0,7891;0,3119;-0,5307
"fabricación";42;0,5948;-0,1143;0,7821;-0,3531;-0,2273;1,0004;-0,5191;-0,6338
"concentración";58;0,5516;-0,1579;-0,1348;0,9543;-0,3139;-0,7261;0,5822;-0,5777
"contaminación";17;-0,466;-0,0463;-0,1293;-0,332;-0,092;0,2313;0,8317;-0,2479
"degradación";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;-0,9208;0,6391
"fabricar";27;1,6513;-0,0735;-0,2054;1,5344;-0,1461;0,7544;-1,3059;-0,8185
"considerarse";95;1,1851;0,348;1,5972;0,6197;-0,1734;-1,0813;-0,6429;0,2705
"250";25;0,7108;-0,0681;1,1581;-0,4882;-0,1353;-0,4602;-0,5232;0,5486
"energético";40;0,6434;-0,1089;0,2978;-0,7811;-0,2165;-1,1824;0,3248;0,9598
"dimensionar";18;-0,4935;-0,049;1,4162;-0,3515;-0,0974;-0,8119;-0,5646;1,6875
"meta";239;0,6702;-0,6507;-1,1;-1,0174;-0,6917;-0,6031;1,0226;0,372
"equivaler";26;-0,2823;-0,0708;-0,1978;-0,1661;-0,1407;1,1663;-0,8621;0,4883
"salvar";32;1,9219;-0,0871;0,3675;0,7828;-0,1732;0,7458;-0,9392;-1,1806
"comparable";24;-0,6579;-0,0653;1,1894;-0,1457;-0,1299;1,3553;-0,4428;-0,6223
"donar";17;0,554;-0,0463;-0,1293;-0,332;-0,092;0,2313;-0,2741;0,3615
"domain";17;-0,466;-0,0463;-0,1293;0,2721;1,7344;0,2313;-1,1067;0,9528
"computational";35;-0,9595;0,7055;0,9092;1,1785;-0,1894;-0,3806;-0,539;0,4135
"zero";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;0,5288;-0,3537;0,2581
"descanso";16;0,5917;-0,0436;-0,1217;0,2899;-0,0866;-0,3406;0,2365;-0,2063
"multilingual";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;0,4901;0,9267
"bloom";31;-0,8498;-0,0844;-0,2358;0,3999;-0,1678;0,5436;-1,1195;1,5086
"consumir";33;-0,4063;-0,0898;-0,251;-0,2434;-0,1786;-0,5255;0,4783;0,7223
"40";330;-0,6967;-0,8985;1,1883;0,6848;0,926;1,2613;-0,448;-1,1796
"tercero";334;-1,3012;-0,4179;-0,3211;-0,3041;-0,2203;-0,6693;0,3826;1,3052
"360";32;-0,388;-0,0871;0,9738;0,3833;0,483;-0,7726;-1,2352;1,7647
"comparación";240;0,9965;-0,2539;0,3937;-0,7735;-0,6957;-1,1059;1,1846;-0,4836
"consumar|consumir";39;-0,52;-0,1062;0,3055;0,611;-0,2111;-0,5127;-0,3429;0,7883
"nuevamente";65;1,3545;-0,177;-0,4944;0,2606;0,2556;-0,5421;-1,1073;1,1209
"60";250;-0,3647;-0,2703;1,4948;-0,4731;-0,2037;0,3744;-0,2873;-0,3835
"ahmad";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-1,326;1,4437;0,4223
"optimista";28;-0,3167;-0,0762;-0,213;-0,1874;-0,1515;0,2594;1,3188;-0,8876
"prometer";105;0,334;0,3167;-0,7986;-0,4989;-0,5682;-0,4746;0,4664;0,6081
"descarte";12;0,2748;1,1399;-0,0913;-0,2343;-0,0649;1,3695;-0,4581;-0,8121
"reconstruir";11;1,5841;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;-1,7362;0,9267
"expresar";323;-0,401;1,7724;-1,0962;0,3454;-0,3642;-0,7802;0,2903;0,816
"exceder";15;0,2132;-0,0408;-0,1141;0,3093;-0,0812;-0,2989;0,5265;-0,3439
"aparte";24;0,3601;-0,0653;-0,1825;-0,1457;-0,1299;0,3905;0,3207;-0,3852
"aleatorio";26;-0,2823;-0,0708;-0,1978;0,4977;-0,1407;0,536;0,7291;-1,1169
"habilitan";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;-0,9945;0,6529;0,7892
"letra";71;-1,1962;-0,1933;-0,54;-0,7566;0,2312;-0,5362;0,8966;0,7872
"canción";74;0,3223;-0,2015;-0,5628;-1,4451;-0,4005;1,5978;0,4396;-0,6995
"sintaxis";17;-0,466;-0,0463;-0,1293;-0,332;-0,092;0,2313;1,668;-0,8
"apariencia";32;-0,388;-0,0871;0,3675;-0,6249;-0,1732;0,3096;0,7643;-0,3761
"solamente";101;-1,8891;0,3287;0,2797;0,5454;0,4483;-0,2953;0,4453;0,309
"veracidad";68;-1,8642;-0,1851;-0,5172;-0,3763;-0,368;-1,4338;1,6081;0,9418
"explicabilidad";64;-1,7545;-0,1742;0,5152;0,269;0,7257;-1,2493;0,6211;0,7778
"dialogar";59;-1,6174;-0,1606;-0,4487;-0,2869;-0,3193;-0,2604;0,4;1,0645
"medicina";109;1,1534;-0,2968;-0,8291;-0,8623;-0,2157;-0,3306;0,5857;-0,3774
"biología";75;1,4065;-0,2042;-0,204;0,3761;0,2166;-1,4117;0,306;0,3658
"preocupante";49;1,1121;-0,1334;0,2395;0,7746;-0,2652;-0,2884;-1,3169;0,6254
"predecible";12;1,479;-0,0327;-0,0913;-0,2343;-0,0649;0,4588;-0,79;-0,1927
"cados";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;0,3459;-0,2851
"metáfora";27;0,6439;-0,0735;-0,2054;-0,1767;-0,1461;-0,315;1,1554;-1,1988
"engañoso";24;-0,6579;-0,0653;-0,1825;-0,1457;-0,1299;-0,2269;0,7174;-0,224
"ustedes";16;-0,4386;-0,0436;-0,1217;-0,3125;1,7852;1,8985;-0,6225;-0,7181
"rechazo";31;-0,8498;-0,0844;-0,2358;-0,2205;-0,1678;-0,2656;-0,6105;1,9021
"confundir";35;0,7857;-0,0953;-0,2662;-0,2669;-0,1894;1,513;-1,6052;0,4135
"raíz";66;-0,6507;-0,1797;-0,1663;-0,3558;0,2513;0,3176;-0,6499;1,2823
"comodidad";12;0,2748;-0,0327;-0,0913;-0,2343;-0,0649;-0,9945;1,0452;-0,1927
"cometer";72;0,5567;-0,196;-0,5476;-0,4185;0,6494;-1,2795;0,5405;0,5866
"totalmente";139;-0,6065;0,2354;-0,5187;-0,3727;0,6057;-0,679;-0,2802;1,1213
"valer";87;1,768;-0,2369;-0,6617;-0,333;-0,4708;0,3522;-0,4922;0,2706
"exento";40;-1,0966;-0,1089;-0,3042;0,2758;-0,2165;-0,5481;0,6167;0,7249
"central";286;1,532;1,4561;0,6356;0,3089;-1,5478;-0,8862;-1,1502;0,9874
"considerado";49;0,2341;0,5776;0,2395;-0,9569;0,909;-0,6393;-1,0651;1,9193
"aceptable";41;0,335;-0,1116;-0,3118;0,2649;-0,2219;0,7893;-0,8152;0,4812
"excepto";30;-0,3519;0,7659;0,3886;0,4174;-0,1623;-0,6782;1,3123;-1,031
"omitir";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,5288;0,254;0,2581
"continuidad";54;-0,4553;-0,147;-0,4107;-0,5125;-0,2922;-1,9893;1,5908;0,7388
"dictar";35;0,7857;-0,0953;-0,2662;0,7027;0,4517;-0,9207;-0,2592;0,2689
"contradictorio";25;-0,2656;0,8385;-0,1901;-0,4882;-0,1353;0,3527;-0,7572;1,1234
"erróneo";98;1,1132;-0,2668;-0,309;1,1723;0,465;1,5649;-1,6867;-0,7883
"plausible";10;0,3297;-0,0272;-0,0761;0,4411;-0,0541;0,6114;-0,5175;-0,2851
"teclado";19;0,4875;-0,0517;-0,1445;0,2408;1,642;1,4618;-0,9919;-0,9699
"alertar";77;-0,8451;-0,2096;-0,2127;-0,8465;-0,4167;0,326;1,1059;-0,2872
"predictive";20;-0,5483;-0,0544;-0,1521;0,2268;-0,1082;0,5864;-0,5169;0,6545
"definición";473;0,6158;1,103;-1,4489;-0,3125;0,6278;-1,2244;1,6591;-0,9834
"webster";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;-0,3914;-0,6493;1,4456
"numérico";61;-0,567;-0,1661;-0,464;-0,3061;0,2738;0,3026;-0,6429;1,4039
"mayoritario";36;-0,9869;-0,098;-0,2738;0,6783;-0,1948;-0,2503;1,3039;-0,7941
"correlaciones";43;1,3403;-0,1171;-0,3271;0,5331;0,3822;-1,865;-1,2513;1,9018
"correlación";48;1,1468;-0,1307;-0,3651;-0,4312;-0,2598;-1,6322;0,514;0,6763
"pertenecer";128;-0,9897;0,7191;-0,9736;0,3051;1,6565;1,3098;-0,964;0,3217
"intento";83;0,8699;1,0202;-0,2392;0,8001;-0,4492;-1,7833;0,548;-0,3337
