"";"classe 1";"classe 2";"classe 3"
"observar";66,386;-22,251;-18,829
"implicación";-260,499;88,787;72,82
"publicación";2,365;35,392;-38,844
"edu";-61,013;37,431;8,391
"página";515,46;-64,904;-259,801
"luego";424,502;-82,491;-174,905
"instrucción";103,429;-87,675;-7,103
"serie";26,881;-0,461;-21,158
"económico";-31,714;582,826;-183,027
"innovador";-173,791;-5,031;220,137
"gráfico";98,042;-25,89;-33,445
"cultura";-40,807;220,795;-29,505
"criterio";-25,293;-22,703;76,638
"anterior";70,192;-11,579;-31,446
"estructura";12,922;-5,854;-2,711
"computadora";429,057;-87,449;-172,174
"evolución";-86,134;-2,496;109,119
"autónomo";1,845;0,026;-2,172
"presente";-4,491;8,459;-0,041
"tan";170,623;-35,762;-67,385
"entrenar";339,58;-41,609;-172,992
"ar";14,189;-3,967;-4,647
"emplear";0,161;-50,181;27,142
"protección";-236,025;1781,828;-330,845
"cosa";628,307;-92,736;-296,3
"estilo";0,509;-112,369;59,033
"adoptar";-162,645;181,869;3,848
"inicial";1,949;-34,931;10,856
"elaborar";1,736;8,565;-13,118
"at";0,046;4,704;-3,722
"chat";225,803;-76,812;-63,228
"conclusión";-15,938;-11,931;44,75
"be";1,216;1,137;-3,75
"orientación";-138,062;41,665;42,679
"común";7,598;23,598;-43,244
"etapa";-27,426;-0,433;32,6
"dejar";158,056;-34,538;-60,915
"alfabetización";-230,014;88,198;57,66
"iniciativa";-89,134;547,731;-84,088
"evitar";-10,416;40,673;-3,423
"efecto";-2,588;13,637;-1,766
"asociar";-21,792;32,712;0,01
"voz";320,497;-54,201;-141,862
"dispositivo";122,139;-6,277;-80,407
"inclusión";-247,304;178,278;25,13
"formar";-23,099;12,939;3,666
"falta";-12,189;22,207;-0,073
"seguro";-3,716;118,807;-45,123
"hora";162,852;-31,955;-66,744
"software";24,021;-15,715;-2,953
"chatbot";8,241;-38,515;4,276
"reducir";-1,002;-1,267;3,545
"describir";38,85;-1,021;-28,9
"reconocimiento";161,28;-14,355;-91,852
"teoría";20,278;-22,354;-0,518
"teaching";-2,792;7,375;-0,244
"comportamiento";28,226;-13,246;-5,68
"etc";125,323;-13,246;-67,423
"hoy";229,416;-35,01;-106,583
"automatizar";-37,514;-38,132;120,039
"similar";178,895;-35,971;-72,335
"privado";-32,941;777,757;-268,541
"it";1,123;3,345;-6,237
"dificultad";-13,988;-56,077;92,791
"construcción";-71,995;-1,681;88,983
"detectar";57,014;-25,711;-12,027
"dinámico";-124,317;-31,719;240,403
"discusión";-44,574;-5,632;72,138
"acuerdo";0,11;18,976;-14,263
"publicar";48,878;31,559;-129,357
"contar";40,122;0,537;-47,006
"perfil";10,937;-0,021;-9,995
"obra";268,622;-15,715;-171,644
"programación";8,388;-54,646;8,89
"entrenamiento";200,468;-33,322;-89,481
"educational";-0,434;2,588;-0,385
"comenzar";27,192;-0,488;-21,288
"adquirir";-80,358;-24,923;164,693
"existente";-84,449;80,19;4,069
"this";4,842;-0,017;-4,311
"arte";131,984;-28,705;-51,009
"distinto";28,581;-2,303;-16,775
"precisión";1,289;-70,555;30,508
"leer";417,513;-78,862;-174,67
"único";9,034;-17,782;0,129
"volver";61,737;-13,97;-23,296
"adecuar";-70,466;3,966;45,44
"brecha";-103,146;459,809;-47,745
"crear|creer";96,237;-17,228;-41,403
"are";0,281;-0,017;-0,177
"par";-0,084;-1,247;1,374
"europeo";-121,17;1218,431;-279,624
"diversidad";-144,008;51,927;38,271
"reflejar";-12,785;9,017;1,359
"preocupación";-61,392;140,61;-2,632
"mente";69,295;-20,12;-22,066
"alcanzar";0,1;0;-0,102
"mencionar";-1,493;-0,533;3,198
"concreto";-11,959;-12,62;38,915
"factor";-28,467;14,235;5,29
"aporte";-175,858;-24,501;290,943
"co";-0,066;-0,192;0,363
"siglo";20,384;-21,99;-0,58
"junto";-1,591;2,979;-0,014
"propósito";-22,45;2,307;12,196
"orientar";-135,165;38,964;43,276
"involucrar";-100,734;10,99;53,589
"surgir";-12,332;8,616;1,337
"internacional ";0,328;7,461;-7,448
"pdf";0,078;89,332;-60,196
"pro";-34,971;-0,572;41,706
"quedar";120,559;-3,335;-88,99
"mayoría";107,515;-10,277;-59,848
"eficiente";-35,463;-39,787;118,655
"cabo";-11,644;-0,701;16,35
"translated";543,38;-84,514;-250,263
"sólo";100,978;-24,998;-35,988
"transparencia";-174,675;887,71;-109,992
"higher";-1,43;21,779;-6,295
"formato";117,291;-56,866;-22,675
"poco";175,323;-24,319;-84,933
"aquí";62,92;-21,433;-17,598
"control";4,087;5,433;-14,807
"ajustar";-24,013;-62,518;123,512
"actor";-136,402;698,085;-87,255
"servir";0,447;-6,7;1,922
"seleccionar";37,862;-25,336;-4,463
"opinión";11,9;0,011;-12,263
"procesar";150,181;-52,561;-41,009
"millón";499,942;-52,896;-268,868
"do";0,042;-1,09;0,388
"después";214,162;-47,967;-81,322
"consulta";4,409;-3,968;-0,254
"consecuencia";-7,292;31,559;-3,137
"or";-0,075;1,226;-0,366
"éxito";-4,179;-19,111;30,092
"university";7,65;7,392;-23,936
"presentación";18,673;-35,941;0,215
"motivación";-132,509;-77,409;337,432
"encostar|encuestar";5,124;0,128;-6,381
"redacción";1,055;-62,506;27,458
"diálogo";-28,797;-1,251;38,468
"creer";88,176;-32,178;-23,174
"definición";3,515;6,803;-15,383
"language";25,902;-1,927;-15,555
"organizar";16,104;-1,991;-8,175
"esfuerzo";-25,79;40,632;0
"planificación";-53,58;-3,707;77,028
"mundial";2,726;333,458;-258,869
"argentino";36,858;36,207;-116,164
"vista";3,955;-3,053;-0,345
"revisar";3,641;-8,274;0,149
"matemáticas";-4,938;-31,452;44,1
"eficiencia";-106,912;-39,265;231,177
"agente";-4,731;-6,468;17,372
"naturaleza";79,338;-21,825;-26,292
"lectura";15,809;-46,545;2,133
"escritura";3,931;-74,134;23,527
"mujer";187,96;0;-184,741
"estudiar";16,766;-25,707;-0,002
"adaptación";-201,609;-9,13;270,929
"matemático";12,861;-34,053;1,135
"compromiso";-201,413;64,507;59,358
"técnico";-66,276;52,669;5,391
"llm";281,914;-64,645;-105,514
"implementar";-155,086;32,923;60,797
"físico";33,896;-20,154;-4,907
"idioma";42,624;-40,273;-2,09
"especial";-39,765;47,02;0,673
"participante";-15,837;-2,399;26,717
"objeto";89,341;-15,587;-38,94
"nombre";181,066;-47,178;-62,343
"interactivo";-57,533;-84,887;219,273
"can";1,501;-0,459;-0,46
"llamar";251,304;-31,452;-126,965
"conversación";165,988;-47,639;-53,321
"intervención";-23,001;-14,793;60,778
"institucional";-203,867;355,869;-0,615
"review";0,354;0,071;-0,64
"previo";-4,71;-28,131;40,301
"ley";-4,921;526,263;-254,71
"integral";-223,322;46,13;88,938
"condición";0,025;47,457;-31,457
"completo";7,137;-17,517;0,443
"progreso";-115,69;-46,101;257
"electrónico";155,603;-27,775;-67,042
"equidad";-256,852;528,306;-5,353
"relevancia";-78,503;-3,218;104,009
"valioso";-116,001;-56,72;276,637
"emergente";-106,901;14,443;52,363
"educar";-107,499;64,675;15,268
"referir";5,757;0,253;-7,701
"disciplina";-47,123;-10,034;86,652
"pesar";-0,019;-2,657;2,032
"fase";-0,124;-14,243;11,134
"estudiantado";-144,025;-31,615;267,033
"estratégico";-152,068;181,99;2,373
"automatización";-30,313;-12,824;68,715
"negativo";21,626;2,696;-34,896
"enriquecer";-189,68;-55,19;381,262
"http";-1,095;17,642;-5,234
"alcance";1,859;-5,855;0,319
"continuación";7,755;-4,345;-1,23
"capacitación";-190,789;49,763;65,644
"total";212,337;-26,056;-108,109
"pp";-25,587;37,627;0,025
"deber|debido";0,549;24,356;-21,533
"acceder";23,631;-13,889;-3,485
"depender";11,086;-13,666;-0,139
"examen";-1,346;-34,706;33,783
"camino";0,388;-3,567;0,77
"pedagógicas";-242,516;-15,387;343,529
"escala";0,043;5,634;-4,349
"jugar";102,239;-33,319;-29,698
"adaptarse";-133,895;-19,953;225,013
"ies";-151,747;315,777;-3,459
"conectar";59,41;-4,795;-34,854
"cuatro";20,954;0,038;-21,998
"sección";12,133;-0,007;-11,474
"suponer";22,378;-3,824;-9,854
"crecimiento";-4,5;61,077;-16,68
"categoría";98,581;-13,397;-48,169
"superar";1,143;-19,137;5,776
"regla";159,206;-5,969;-111,679
"iagen";-118,395;-3,959;152,663
"consideración";-126,654;111,2;7,862
"casi";317,793;-43,475;-154,852
"salud";13,133;15,025;-44,338
"reflexionar";-107,522;-7,173;153,606
"difícil";129,521;-31,033;-47,153
"igual";97,601;-23,521;-35,4
"determinar";50,222;-9,08;-21,498
"informática";9,104;0,627;-13,077
"seguimiento";-23,272;-19,398;68,323
"américa";-102,017;1085,978;-258,441
"adicional";-9,077;-50,384;74,019
"intelectual";-3,337;48,262;-13,608
"ingeniería";-8,808;-0,062;9,843
"how";0,748;0,409;-1,858
"garcía";-23,127;0,861;16,243
"primario";-22,926;41,229;-0,114
"inglés";128,796;-15,155;-66,638
"pedagogía";-173,439;-7,556;231,778
"adecuado";-37,247;-0,761;45,391
"edad";73,853;-20,241;-24,54
"aportar";-36,089;-0,044;37,433
"introducir";16,504;-5,092;-5,013
"solicitar";94,391;-40,072;-21,305
"sesión";36,126;-31,492;-2,29
"consciente";-56,235;37,88;6,546
"simple";124,279;-50,117;-29,617
"teórico";-74,699;-4,609;105,323
"regulación";-100,704;705,408;-122,751
"legal";-55,757;632,054;-156,268
"incorporación";-183,218;-1,777;209,28
"versión";205,731;-22,996;-108,489
"preguntar";146,414;-39,021;-49,626
"fortalecer";-137,915;33,556;49,713
"ampliar";-14,282;-4,424;29,259
"tus";76,121;-62,292;-5,748
"representación";49,964;-21,17;-11,301
"población";47,688;7,041;-79,967
"abrir";-10,253;-1,28;16,55
"vídeo";147,429;-57,227;-36,515
"experimentar";-0,883;-27,238;25,624
"adolescente";259,639;-24,04;-146,031
"década";83,394;-7,814;-46,724
"openai";224,686;-44,151;-92,015
"instrumento";-58,355;2,937;38,593
